IDBASE,X,Y
425, 48.8704085239, 2.33919040097
426, 48.870422748, 2.33147583673
427, 48.8702889452, 2.34255594761
428, 48.8710982855, 2.33544017501
429, 48.8645342133, 2.35145098925
430, 48.8671294818, 2.35027794673
431, 48.8696062782, 2.35140389852
432, 48.8704763654, 2.33179448734
433, 48.8682368736, 2.33476148425
434, 48.8681202266, 2.33469475761
435, 48.8703698245, 2.3311640216
436, 48.8672189351, 2.35032023561
437, 48.8655960681, 2.34358525826
438, 48.8640209565, 2.34948722617
439, 48.8707742871, 2.3468638856
440, 48.8713435587, 2.33686644509
441, 48.867480886, 2.33509178116
442, 48.8650445156, 2.35174078109
443, 48.8698506383, 2.3499268659
444, 48.8644389359, 2.35100456227
445, 48.867346618, 2.35302875046
446, 48.865851319, 2.34691074989
447, 48.8670067296, 2.34947312905
448, 48.8648494846, 2.35123638992
449, 48.8670452176, 2.34408567011
450, 48.8671332596, 2.34404888639
451, 48.8681972465, 2.33405924153
452, 48.8715435006, 2.34218645302
453, 48.870353521, 2.3310822288
454, 48.8701347573, 2.35013542008
455, 48.8698168878, 2.35007623878
456, 48.8666351669, 2.34517879898
457, 48.8702889407, 2.33069798254
458, 48.8676613559, 2.33519351879
459, 48.8669256033, 2.34394097274
460, 48.871056717, 2.34515225264
461, 48.8703375543, 2.34918124468
462, 48.8663245411, 2.344506563
463, 48.870201749, 2.33909133642
464, 48.8685147075, 2.34444674841
465, 48.8655666313, 2.34372606265
466, 48.8684471352, 2.35021336219
467, 48.8705743659, 2.34806688494
468, 48.868389619, 2.35001398329
469, 48.867833013, 2.3345379876
470, 48.8717557841, 2.33926915101
471, 48.8671746103, 2.3495476585
472, 48.8647150458, 2.35155412263
473, 48.8711686876, 2.33584232718
474, 48.8678984197, 2.33723781809
475, 48.8676756031, 2.35321118041
476, 48.8701554192, 2.35004341314
477, 48.8717988054, 2.34060427397
478, 48.8670244255, 2.34396108959
479, 48.8708753688, 2.34624535428
480, 48.8652126677, 2.34857087569
481, 48.8698474274, 2.34978940573
482, 48.8708356448, 2.33392787016
483, 48.8712118383, 2.34423125118
484, 48.868654353, 2.34691196465
485, 48.8683600124, 2.338207385
486, 48.8672744719, 2.35298699165
487, 48.86844173, 2.34469712649
488, 48.8665302418, 2.35256845228
489, 48.8711572314, 2.33578098777
490, 48.8654306161, 2.35195558191
491, 48.8667680358, 2.34067873705
492, 48.8700567239, 2.35051199188
493, 48.8688449875, 2.35386843003
494, 48.8650923941, 2.34851887589
495, 48.8647279648, 2.3465168164
496, 48.8714130339, 2.33726774029
497, 48.870513287, 2.34836165777
498, 48.8708137952, 2.33378644756
499, 48.8716654469, 2.33874174857
500, 48.8684210766, 2.35012304537
501, 48.8645178655, 2.34827108559
502, 48.8715647281, 2.34205609654
503, 48.8705581979, 2.34813332989
504, 48.8680114964, 2.33783456556
505, 48.8703258365, 2.33091438118
506, 48.8712270046, 2.3361899518
507, 48.8682645072, 2.34998834784
508, 48.8647862077, 2.35159503089
509, 48.8659644749, 2.34357366388
510, 48.8681840499, 2.3347297956
511, 48.8712777648, 2.34383336891
512, 48.8664480539, 2.35252412045
513, 48.8707599471, 2.34693886981
514, 48.8641255864, 2.34995067831
515, 48.8704483983, 2.33164027555
516, 48.8712395999, 2.34407022131
517, 48.8700307347, 2.32919339705
518, 48.8655206401, 2.34369678871
519, 48.8715605623, 2.33813254241
